FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
469,0031XX 3 ST NE,3732172,MP 2018 999918,2,2018/01/05 09:54:04,2018/01/04 15:30:00,15:30:00,TMVP,Theft-motr Veh Parts,7,2018/01/05 09:54:04,25339,45.01680385,-93.2662127,"-10,382,347.3061","5,624,167.2963",COLUMBIA PARK,2018/01/05 09:54:11,2018/01/05 20:00:38
470,0014XX Nicollet AV S,3732173,MP 2018 004553,1,2018/01/05 10:05:00,2018/01/05 08:50:00,08:50:00,THEFT,Other Theft,7,2018/01/05 10:03:29,25134,44.96789104,-93.2778163,"-10,383,639.0129","5,616,468.0029",LORING PARK,2018/01/05 16:43:01,2018/01/05 20:00:38
471,0031XX Aldrich AV S,3732174,MP 2018 004555,5,2018/01/05 10:08:00,2018/01/04 20:00:00,20:00:00,AUTOTH,Motor Vehicle Theft,8,2018/01/05 10:07:41,11396,44.94567322,-93.28941139,"-10,384,929.7719","5,612,972.8975",CARAG,2018/01/05 13:58:20,2018/01/05 20:00:38
472,0009XX 25 AV S,3732176,MP 2018 999917,3,2018/01/05 10:29:34,2017/12/25 00:00:00,00:00:00,THEFT,Other Theft,7,2018/01/05 10:29:34,14957,44.96307982,-93.23616387,"-10,379,002.2853","5,615,711.0305",SEWARD,2018/01/05 10:29:37,2018/01/05 20:00:38
473,0042XX Lake ST E,3732179,MP 2018 004600,3,2018/01/05 10:40:00,2018/01/05 09:45:00,09:45:00,AUTOTH,Motor Vehicle Theft,8,2018/01/05 10:40:38,14495,44.94834202,-93.21206053,"-10,376,319.1139","5,613,392.6568",COOPER,2018/01/05 14:30:22,2018/01/05 20:00:38
474,0019XX Sheridan AV N,3732180,MP 2018 004609,4,2018/01/05 10:18:00,2018/01/05 10:05:00,10:05:00,ROBPER,Robbery Of Person,4,2018/01/05 10:44:05,14595,44.99970197,-93.31205256,"-10,387,450.1757","5,621,474.567",WILLARD - HAY,2018/01/05 11:40:44,2018/01/05 20:00:38
475,0023XX Girard AV S,3732183,MP 2018 999916,5,2018/01/05 10:58:50,2018/01/03 21:59:59,22:00:00,TFMV,Theft From Motr Vehc,7,2018/01/05 10:58:50,16961,44.96002726,-93.29692495,"-10,385,766.1782","5,615,230.79",EAST ISLES,2018/01/05 10:58:57,2018/01/05 20:00:38
476,5 ST S / Marquette AV S,3732187,MP 2018 004657,1,2018/01/05 11:38:00,2018/01/05 11:06:00,11:06:00,THEFT,Other Theft,7,2018/01/05 11:37:38,,44.97821,-93.26929,"-10,382,689.48","5,618,091.115",DOWNTOWN WEST,2018/01/05 14:42:44,2018/01/05 20:00:38
477,0020XX University AV SE,3732189,MP 2018 999915,2,2018/01/05 11:44:28,2018/01/04 19:15:00,19:15:00,THEFT,Other Theft,7,2018/01/05 11:44:28,17264,44.97530189,-93.22612221,"-10,377,884.453","5,617,634.1112",UNIVERSITY OF MINNESOTA,2018/01/05 11:44:32,2018/01/05 20:00:38
478,0030XX HENNEPIN AV ,3732190,MP 2018 999914,5,2018/01/05 11:45:48,2018/01/05 09:59:59,10:00:00,THEFT,Other Theft,7,2018/01/05 11:45:48,11281,44.9474742,-93.29829195,"-10,385,918.3514","5,613,256.1615",CARAG,2018/01/05 11:45:51,2018/01/05 20:00:38
479,Franklin AV E / Nicollet AV S,3732196,MP 2018 004718,5,2018/01/05 12:11:59,2018/01/04 17:29:59,17:30:00,ROBPAG,Robbery Per Agg,4,2018/01/05 12:11:08,,44.96269,-93.27781,"-10,383,638.4","5,615,650.122",STEVENS SQUARE - LORING HEIGHTS,2018/01/05 13:52:49,2018/01/05 20:00:38
480,0048XX Girard AV N,3732204,MP 2018 004672,4,2018/01/05 11:38:00,2018/01/05 11:18:00,11:18:00,AUTOTH,Motor Vehicle Theft,8,2018/01/05 12:55:00,10871,45.04300637,-93.29790397,"-10,385,875.1621","5,628,294.5019",LIND - BOHANON,2018/01/05 14:17:05,2018/01/05 20:00:38
481,0007XX 7 ST SE,3732209,MP 2018 004760,2,2018/01/05 13:34:59,2018/01/05 12:43:00,12:43:00,BURGD,Burglary Of Dwelling,6,2018/01/05 13:28:21,17787,44.98702994,-93.24246064,"-10,379,703.2393","5,619,479.8471",MARCY HOLMES,2018/01/05 14:34:25,2018/01/05 20:00:38
482,0008XX 28 ST E,3732222,MP 2018 999909,3,2018/01/05 14:47:32,2018/01/04 14:00:00,14:00:00,THEFT,Other Theft,7,2018/01/05 14:47:32,15519,44.95195537,-93.26136643,"-10,381,807.8212","5,613,961.0113",MIDTOWN PHILLIPS,2018/01/05 14:47:33,2018/01/05 20:00:38
483,0016XX 6 ST S,3732223,MP 2018 003630,1,2018/01/05 14:54:00,2018/01/04 12:40:00,12:40:00,THEFT,Other Theft,7,2018/01/05 14:51:22,20031,44.96811948,-93.2484969,"-10,380,375.1923","5,616,503.946",CEDAR RIVERSIDE,2018/01/05 16:53:27,2018/01/05 20:00:38
484,0018XX 5 ST S,3732224,MP 2018 001469,1,2018/01/05 14:57:00,2017/12/26 15:30:00,15:30:00,BURGD,Burglary Of Dwelling,6,2018/01/05 14:56:07,17449,44.96884812,-93.24609076,"-10,380,107.3419","5,616,618.5927",CEDAR RIVERSIDE,2018/01/05 16:56:02,2018/01/05 20:00:38
485,0013XX Hennepin AV E,3732228,MP 2018 004806,2,2018/01/05 15:00:00,2018/01/05 13:25:00,13:25:00,THEFT,Other Theft,7,2018/01/05 15:08:37,19673,44.99147193,-93.23267618,"-10,378,614.038","5,620,179.016",COMO,2018/01/05 19:56:22,2018/01/05 20:00:38
486,0026XX Lake ST E,3732234,MP 2018 004954,3,2018/01/05 15:35:00,2018/01/05 14:35:00,14:35:00,THEFT,Other Theft,7,2018/01/05 15:35:36,19098,44.94837404,-93.23372946,"-10,378,731.2886","5,613,397.6944",LONGFELLOW,2018/01/05 16:19:50,2018/01/05 20:00:38
487,0025XX Arthur ST NE,3732238,MP 2018 004928,2,2018/01/05 15:45:00,2017/12/27 11:45:00,11:45:00,THEFT,Other Theft,7,2018/01/05 15:45:51,11229,45.01478322,-93.23200425,"-10,378,539.2383","5,623,849.1025",AUDUBON PARK,2018/01/05 19:58:06,2018/01/05 20:00:38
488,0055XX Xerxes AV S,3732243,MP 2018 999907,5,2018/01/05 16:24:05,2018/01/05 11:39:59,11:40:00,TFMV,Theft From Motr Vehc,7,2018/01/05 16:24:05,13539,44.90252725,-93.31882453,"-10,388,204.0285","5,606,189.4267",ARMATAGE,2018/01/05 16:24:09,2018/01/05 20:00:38
489,0055XX Lyndale AV S,3732245,MP 2018 999905,5,2018/01/05 16:38:56,2018/01/05 09:59:59,10:00:00,TFMV,Theft From Motr Vehc,7,2018/01/05 16:38:56,14676,44.90236583,-93.28831059,"-10,384,807.2321","5,606,164.0577",WINDOM,2018/01/05 16:39:01,2018/01/05 20:00:38
490,0004XX CHICAGO AV ,3732246,MP 2018 999904,1,2018/01/05 16:49:36,2017/12/31 11:00:00,11:00:00,THFTSW,Theft By Swindle,7,2018/01/05 16:49:36,18604,44.97466322,-93.25938727,"-10,381,587.5024","5,617,533.6098",DOWNTOWN EAST,2018/01/05 16:49:38,2018/01/05 20:00:38
491,LASALLE AV  / 15 ST W,3732247,MP 2018 999903,99,2018/01/05 16:53:14,2018/01/02 21:59:59,22:00:00,TFMV,Theft From Motr Vehc,7,2018/01/05 16:53:14,,44.96772,-93.27933,"-10,383,807.36","5,616,440.501",LORING PARK,2018/01/05 16:53:19,2018/01/05 20:00:38
492,0008XX 13 AV SE,3732249,MP 2018 004925,2,2018/01/05 17:10:00,2017/12/27 06:59:59,07:00:00,THEFT,Other Theft,7,2018/01/05 17:08:07,16832,44.98531447,-93.23374831,"-10,378,733.3871","5,619,209.8457",MARCY HOLMES,2018/01/05 19:57:08,2018/01/05 20:00:38
493,0051XX CHICAGO AV ,3732251,MP 2018 999902,3,2018/01/05 17:09:03,2017/12/29 21:00:00,21:00:00,THEFT,Other Theft,7,2018/01/05 17:09:03,20249,44.90977528,-93.26264539,"-10,381,950.1954","5,607,328.6168",HALE,2018/01/05 17:09:06,2018/01/05 20:00:38
494,0006XX 26 AV NE,3732262,MP 2018 005109,2,2018/01/05 18:20:59,2018/01/05 18:00:00,18:00:00,AUTOTH,Motor Vehicle Theft,8,2018/01/05 18:35:01,11320,45.01497499,-93.2549055,"-10,381,088.5947","5,623,879.2998",HOLLAND,2018/01/05 19:57:39,2018/01/05 20:00:38
495,00001X 5 ST N,3732266,MP 2018 999900,1,2018/01/05 19:02:05,2018/01/04 00:59:59,01:00:00,THEFT,Other Theft,7,2018/01/05 19:02:05,16701,44.97996756,-93.27316614,"-10,383,121.3599","5,618,368.3395",DOWNTOWN WEST,2018/01/05 19:02:13,2018/01/05 20:00:38
496,14 ST W / Lasalle AV ,3746705,MP 2018 082208,1,2018/03/15 09:30:00,2018/03/14 21:59:59,22:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/15 09:34:18,,44.96879,-93.27933,"-10,383,807.65","5,616,609.286",LORING PARK,2018/03/20 06:49:16,2018/03/20 20:00:34
497,0005XX 1 AV N,3747293,MP 2018 085087,1,2018/03/17 16:50:59,2018/03/16 15:59:59,16:00:00,THEFT,Other Theft,7,2018/03/17 16:51:02,17104,44.97998625,-93.27428374,"-10,383,245.7696","5,618,371.2806",DOWNTOWN WEST,2018/03/20 06:27:42,2018/03/20 20:00:34
498,0004XX Central AV SE,3747520,MP 2018 086504,2,2018/03/18 21:56:59,2018/03/17 15:59:59,16:00:00,THEFT,Other Theft,7,2018/03/18 21:57:15,17985,44.98749774,-93.25336333,"-10,380,916.9205","5,619,553.4767",MARCY HOLMES,2018/03/20 10:50:56,2018/03/20 20:00:34
499,0014XX Knox AV N,3747550,MP 2018 086419,4,2018/03/19 00:20:00,2018/03/18 15:00:00,15:00:00,BURGD,Burglary Of Dwelling,6,2018/03/19 00:19:06,22166,44.99361165,-93.30194223,"-10,386,324.6996","5,620,515.8273",WILLARD - HAY,2018/03/19 22:03:50,2018/03/20 20:00:34
500,0001XX Glenwood AV ,3747585,MP 2018 087006,1,2018/03/19 08:10:00,2018/03/19 00:00:00,00:00:00,THEFT,Other Theft,7,2018/03/19 08:19:30,19660,44.97915602,-93.28539129,"-10,384,482.2571","5,618,240.6243",NORTH LOOP,2018/03/20 06:51:12,2018/03/20 20:00:34
501,0008XX Plymouth AV N,3747679,MP 2018 087144,4,2018/03/19 13:12:00,2018/03/19 10:50:00,10:50:00,THEFT,Other Theft,7,2018/03/19 13:12:17,15330,44.99197079,-93.2903022,"-10,385,028.9367","5,620,257.5399",NEAR - NORTH,2018/03/20 09:08:59,2018/03/20 20:00:34
502,0014XX Penn AV N,3747690,MP 2018 087274,4,2018/03/19 13:46:00,2018/03/19 11:00:00,11:00:00,TFMV,Theft From Motr Vehc,7,2018/03/19 13:45:26,11494,44.9937372,-93.30822122,"-10,387,023.6728","5,620,535.59",WILLARD - HAY,2018/03/20 06:08:18,2018/03/20 20:00:34
503,0013XX 2 AV S,3747698,MP 2018 085034,1,2018/03/17 14:29:59,2018/03/17 11:03:59,11:04:00,THEFT,Other Theft,7,2018/03/19 14:05:17,25845,44.96976154,-93.27499862,"-10,383,325.3499","5,616,762.3157",LORING PARK,2018/03/19 20:41:24,2018/03/20 20:00:34
504,0012XX 2 ST S,3747703,MP 2018 087315,1,2018/03/19 14:23:59,2018/03/17 22:30:00,22:30:00,BURGB,Burglary Of Business,6,2018/03/19 14:23:56,22502,44.97552467,-93.25032946,"-10,380,579.1916","5,617,669.1686",DOWNTOWN EAST,2018/03/20 05:03:03,2018/03/20 20:00:34
505,0033XX University AV SE,3747704,MP 2018 087343,2,2018/03/19 14:29:59,2018/03/19 13:34:59,13:35:00,THEFT,Other Theft,7,2018/03/19 14:29:00,15494,44.96894951,-93.21012916,"-10,376,104.1146","5,616,634.5455",PROSPECT PARK - EAST RIVER ROAD,2018/03/20 06:50:55,2018/03/20 20:00:34
506,0003XX Hennepin AV E,3747728,MP 2018 087447,2,2018/03/19 16:37:00,2018/03/19 15:20:00,15:20:00,SHOPLF,Shoplifting,7,2018/03/19 16:36:35,21087,44.98822671,-93.25566927,"-10,381,173.6169","5,619,668.2131",NICOLLET ISLAND - EAST BANK,2018/03/19 22:54:37,2018/03/20 20:00:34
507,0028XX 26 AV S,3747733,MP 2018 087533,3,2018/03/19 17:15:00,2018/03/17 21:59:59,22:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/19 17:07:45,19096,44.95108135,-93.2347243,"-10,378,842.0334","5,613,823.5304",LONGFELLOW,2018/03/19 21:49:48,2018/03/20 20:00:34
508,0015XX New Brighton BL ,3747742,MP 2018 087520,2,2018/03/19 17:54:00,2018/03/19 16:15:00,16:15:00,THEFT,Other Theft,7,2018/03/19 17:54:08,21511,45.00363907,-93.22883412,"-10,378,186.3417","5,622,094.4019",NORTHEAST PARK,2018/03/19 23:26:10,2018/03/20 20:00:34
509,14 AV S / 26 ST E,3747743,MP 2018 087636,3,2018/03/19 18:26:00,2018/03/17 21:59:59,22:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/19 18:14:03,,44.95554,-93.25498,"-10,381,096.86","5,614,524.271",MIDTOWN PHILLIPS,2018/03/19 21:49:24,2018/03/20 20:00:34
510,0003XX 10 AV SE,3747745,MP 2018 087625,2,2018/03/19 06:30:00,2018/03/17 21:45:00,21:45:00,BURGD,Burglary Of Dwelling,6,2018/03/19 18:23:38,17723,44.98221898,-93.24171931,"-10,379,620.7138","5,618,722.6625",MARCY HOLMES,2018/03/19 23:00:51,2018/03/20 20:00:34
511,22 AV S / Butler PL ,3747748,MP 2018 087574,1,2018/03/19 18:33:59,2018/03/19 17:05:00,17:05:00,ROBPAG,Robbery Per Agg,4,2018/03/19 18:33:47,,44.96468,-93.24089,"-10,379,528.78","5,615,962.107",CEDAR RIVERSIDE,2018/03/20 08:45:59,2018/03/20 20:00:34
512,0012XX Sheridan AV N,3747760,MP 2018 998604,4,2018/03/19 20:19:56,2018/03/15 23:00:00,23:00:00,THEFT,Other Theft,7,2018/03/19 20:19:56,22190,44.99027302,-93.3120848,"-10,387,453.7646","5,619,990.3027",WILLARD - HAY,2018/03/20 05:16:59,2018/03/20 20:00:34
513,0034XX Emerson AV S,3747762,MP 2018 998603,5,2018/03/19 20:29:17,2018/03/17 18:59:59,19:00:00,TFMV,Theft From Motr Vehc,7,2018/03/19 20:29:17,14083,44.94041722,-93.2945481,"-10,385,501.5878","5,612,146.2685",CARAG,2018/03/20 07:56:41,2018/03/20 20:00:34
514,0017XX Washington ST NE,3747763,MP 2018 087645,2,2018/03/19 20:35:59,2018/03/19 17:00:00,17:00:00,DASTR,Domestic Assault/Strangulation,5,2018/03/19 20:35:56,15292,45.0058149,-93.25755429,"-10,381,383.456","5,622,436.969",LOGAN PARK,2018/03/20 07:55:14,2018/03/20 20:00:34
515,0021XX Colfax AV S,3747765,MP 2018 087793,5,2018/03/19 20:50:00,2018/03/19 20:18:00,20:18:00,AUTOTH,Motor Vehicle Theft,8,2018/03/19 20:47:51,17031,44.96141399,-93.29182117,"-10,385,198.0283","5,615,448.9521",LOWRY HILL EAST,2018/03/20 07:54:37,2018/03/20 20:00:34
516,0025XX Bryant AV S,3747769,MP 2018 087787,5,2018/03/19 21:11:59,2017/12/08 00:01:00,00:01:00,THEFT,Other Theft,7,2018/03/19 21:05:21,16098,44.95643627,-93.29058064,"-10,385,059.9329","5,614,665.8739",LOWRY HILL EAST,2018/03/20 07:53:29,2018/03/20 20:00:34
517,0019XX 3 AV S,3747784,MP 2018 087944,5,2018/03/19 22:40:00,2018/03/19 22:12:00,22:12:00,ROBPAG,Robbery Per Agg,4,2018/03/19 22:39:01,17344,44.96332,-93.27275923,"-10,383,076.0625","5,615,748.818",STEVENS SQUARE - LORING HEIGHTS,2018/03/20 08:47:57,2018/03/20 20:00:34
518,0025XX 11 AV S,3747790,MP 2018 087961,3,2018/03/19 23:32:59,2018/03/19 22:34:59,22:35:00,ROBPAG,Robbery Per Agg,4,2018/03/19 23:32:40,16525,44.95643483,-93.25878084,"-10,381,519.9954","5,614,665.6478",MIDTOWN PHILLIPS,2018/03/20 01:49:49,2018/03/20 20:00:34
519,0037XX 29 AV S,3747799,MP 2018 087924,3,2018/03/20 00:45:00,2018/03/19 21:45:00,21:45:00,CSCR,Crim Sex Cond-rape,3,2018/03/20 00:43:11,15581,44.9350103,-93.2308515,"-10,378,410.9154","5,611,295.9847",STANDISH,2018/03/20 07:23:39,2018/03/20 20:00:34
520,0004XX 5 AV SE,3747802,MP 2018 088091,2,2018/03/20 01:11:00,2018/03/19 23:00:00,23:00:00,BURGD,Burglary Of Dwelling,6,2018/03/20 01:10:44,17627,44.98596622,-93.24788043,"-10,380,306.5666","5,619,312.4252",MARCY HOLMES,2018/03/20 12:32:14,2018/03/20 20:00:34
521,0052XX Oliver AV N,3747834,MP 2018 088255,4,2018/03/20 07:34:59,2018/03/20 00:49:59,00:50:00,BURGD,Burglary Of Dwelling,6,2018/03/20 08:01:14,10196,45.0503107,-93.30809032,"-10,387,009.1013","5,629,445.3567",SHINGLE CREEK,2018/03/20 09:11:56,2018/03/20 20:00:34
522,0026XX Girard AV N,3747853,MP 2018 088240,4,2018/03/20 09:03:00,2018/03/20 06:35:00,06:35:00,AUTOTH,Motor Vehicle Theft,8,2018/03/20 09:02:12,13686,45.00686339,-93.29683374,"-10,385,756.0246","5,622,602.0515",JORDAN,2018/03/20 13:24:11,2018/03/20 20:00:34
523,0052XX Oliver AV N,3747854,MP 2018 088299,4,2018/03/20 09:00:00,2018/03/20 00:01:00,00:01:00,BURGD,Burglary Of Dwelling,6,2018/03/20 09:04:30,10196,45.0503107,-93.30809032,"-10,387,009.1013","5,629,445.3567",SHINGLE CREEK,2018/03/20 13:19:04,2018/03/20 20:00:34
524,0009XX WEST BROADWAY  ,3747872,MP 2018 998600,4,2018/03/20 10:05:19,2018/03/19 21:10:00,21:10:00,THEFT,Other Theft,7,2018/03/20 10:05:19,15960,44.99914804,-93.29181556,"-10,385,197.4033","5,621,387.3639",NEAR - NORTH,2018/03/20 10:05:27,2018/03/20 20:00:34
525,0029XX Clinton AV S,3747874,MP 2018 088290,3,2018/03/20 09:59:59,2018/03/20 05:19:59,05:20:00,BURGB,Burglary Of Business,6,2018/03/20 10:08:30,17058,44.94921413,-93.27157562,"-10,382,944.3039","5,613,529.8307",PHILLIPS WEST,2018/03/20 13:45:56,2018/03/20 20:00:34
526,8TH ST  / 28 AV S,3747878,MP 2018 998599,99,2018/03/20 10:21:50,2018/03/19 12:59:59,13:00:00,TFMV,Theft From Motr Vehc,7,2018/03/20 10:21:50,,44.96529,-93.23139,"-10,378,470.55","5,616,059.214",CEDAR RIVERSIDE,2018/03/20 10:21:51,2018/03/20 20:00:34
527,0053XX 10 AV S,3747886,MP 2018 998598,3,2018/03/20 11:06:02,2017/07/01 15:59:59,16:00:00,THEFT,Other Theft,7,2018/03/20 11:06:02,14274,44.90616237,-93.26009784,"-10,381,666.6029","5,606,760.7495",HALE,2018/03/20 11:06:08,2018/03/20 20:00:34
528,0003XX 38 ST E,3747891,MP 2018 088344,3,2018/03/20 11:28:00,2018/03/20 09:36:59,09:37:00,THEFT,Other Theft,7,2018/03/20 11:28:30,16258,44.93414373,-93.27207746,"-10,383,000.1685","5,611,159.7164",CENTRAL,2018/03/20 18:41:36,2018/03/20 20:00:34
529,0027XX Minnehaha AV S,3747893,MP 2018 088349,3,2018/03/20 11:45:00,2018/03/19 03:00:00,03:00:00,BURGB,Burglary Of Business,6,2018/03/20 11:42:23,25752,44.95264966,-93.23715551,"-10,379,112.6741","5,614,070.2223",LONGFELLOW,2018/03/20 13:53:10,2018/03/20 20:00:34
530,0028XX Fremont AV S,3747908,MP 2018 998595,5,2018/03/20 12:43:39,2018/03/06 18:59:59,19:00:00,TFMV,Theft From Motr Vehc,7,2018/03/20 12:43:39,17312,44.95099605,-93.29571711,"-10,385,631.7224","5,613,810.113",LOWRY HILL EAST,2018/03/20 12:43:42,2018/03/20 20:00:34
531,0029XX HENNEPIN AV ,3747909,MP 2018 998594,5,2018/03/20 12:45:20,2018/03/18 00:59:59,01:00:00,THEFT,Other Theft,7,2018/03/20 12:45:20,22774,44.94960945,-93.29827352,"-10,385,916.3","5,613,592.011",LOWRY HILL EAST,2018/03/20 12:45:26,2018/03/20 20:00:34
532,0007XX HENNEPIN AV ,3747911,MP 2018 998593,1,2018/03/20 13:05:27,2018/03/18 00:59:59,01:00:00,THEFT,Other Theft,7,2018/03/20 13:05:27,21654,44.97758226,-93.2753473,"-10,383,364.1645","5,617,992.9622",DOWNTOWN WEST,2018/03/20 13:05:32,2018/03/20 20:00:34
533,0022XX Lyndale AV S,3747913,MP 2018 998591,5,2018/03/20 13:14:48,2018/03/20 11:00:00,11:00:00,TFMV,Theft From Motr Vehc,7,2018/03/20 13:14:48,16534,44.96002038,-93.28801715,"-10,384,774.5663","5,615,229.7083",LOWRY HILL EAST,2018/03/20 13:14:53,2018/03/20 20:00:34
534,0026XX Franklin AV E,3747924,MP 2018 088520,3,2018/03/20 14:15:00,2018/03/20 12:43:59,12:44:00,TFMV,Theft From Motr Vehc,7,2018/03/20 14:16:48,15161,44.96276256,-93.23378076,"-10,378,736.9991","5,615,661.1174",SEWARD,2018/03/20 18:47:12,2018/03/20 20:00:34
535,0007XX HENNEPIN AV ,3747944,MP 2018 998586,1,2018/03/20 16:13:55,2018/03/16 14:00:00,14:00:00,BIKETF,Bike Theft,7,2018/03/20 16:13:55,21654,44.97758226,-93.2753473,"-10,383,364.1645","5,617,992.9622",DOWNTOWN WEST,2018/03/20 16:14:01,2018/03/20 20:00:34
536,0024XX Hennepin AV E,3747953,MP 2018 998583,2,2018/03/20 17:07:14,2018/03/20 16:09:59,16:10:00,TBLDG,Theft From Building,7,2018/03/20 17:07:14,21714,44.99153714,-93.21832914,"-10,377,016.9322","5,620,189.2805",COMO,2018/03/20 17:07:15,2018/03/20 20:00:34
537,0001XX 2 AV S,3747971,MP 2018 998581,1,2018/03/20 18:19:19,2017/10/06 15:59:59,16:00:00,THEFT,Other Theft,7,2018/03/20 18:19:19,17255,44.98207479,-93.26419256,"-10,382,122.4248","5,618,699.9697",DOWNTOWN WEST,2018/03/20 18:19:22,2018/03/20 20:00:34
538,0002XX Main ST SE,3753006,MP 2018 114412,2,2018/04/11 22:15:00,2018/04/11 21:30:00,21:30:00,BURGB,Burglary Of Business,6,2018/04/11 22:15:43,17347,44.98479525,-93.2562213,"-10,381,235.0688","5,619,128.1276",MARCY HOLMES,2018/04/15 04:59:22,2018/04/15 20:00:35
539,0001XX 5 ST N,3753389,MP 2018 116347,1,2018/04/13 15:10:00,2018/04/12 00:01:00,00:01:00,TFPER,Theft From Person,7,2018/04/13 15:09:52,17874,44.98078144,-93.27429567,"-10,383,247.0982","5,618,496.4248",DOWNTOWN WEST,2018/04/15 13:56:22,2018/04/15 20:00:35
540,0005XX 6 ST S,3753481,MP 2018 117101,1,2018/04/14 03:30:00,2018/04/13 17:29:59,17:30:00,THEFT,Other Theft,7,2018/04/14 03:26:14,18923,44.97468567,-93.26394066,"-10,382,094.3831","5,617,537.1424",ELLIOT PARK,2018/04/15 00:03:08,2018/04/15 20:00:35
541,0002XX 3 AV S,3753484,MP 2018 117056,1,2018/04/14 03:59:59,2018/04/13 20:29:59,20:30:00,AUTOTH,Motor Vehicle Theft,8,2018/04/14 03:43:48,16239,44.98053512,-93.26362691,"-10,382,059.4575","5,618,457.6598",DOWNTOWN WEST,2018/04/15 03:41:26,2018/04/15 20:00:35
542,0004XX 1 AV N,3753515,MP 2018 115129,1,2018/04/14 08:00:00,2018/04/12 12:00:00,12:00:00,THFTSW,Theft By Swindle,7,2018/04/14 08:10:27,17121,44.98080828,-93.27314066,"-10,383,118.5232","5,618,500.6487",DOWNTOWN WEST,2018/04/15 00:25:07,2018/04/15 20:00:35
543,0012XX Oliver AV N,3753544,MP 2018 117231,4,2018/04/14 09:24:00,2018/04/14 02:29:59,02:30:00,DASTR,Domestic Assault/Strangulation,5,2018/04/14 09:23:38,14970,44.9901472,-93.30698272,"-10,386,885.8038","5,619,970.4973",NEAR - NORTH,2018/04/16 07:22:51,2018/04/16 20:00:32
544,0005XX 8 ST S,3753563,MP 2018 117408,1,2018/04/14 14:21:00,2018/04/11 14:02:00,14:02:00,THEFT,Other Theft,7,2018/04/14 14:20:53,16975,44.97275017,-93.26557192,"-10,382,275.9747","5,617,232.5785",ELLIOT PARK,2018/04/15 00:22:31,2018/04/15 20:00:35
545,0005XX 8 ST S,3753565,MP 2018 117385,1,2018/04/14 14:42:00,2018/04/14 10:40:00,10:40:00,BURGD,Burglary Of Dwelling,6,2018/04/14 14:41:22,16975,44.97275017,-93.26557192,"-10,382,275.9747","5,617,232.5785",ELLIOT PARK,2018/04/15 00:21:09,2018/04/15 20:00:35
546,0001XX 9 ST N,3753574,MP 2018 117468,1,2018/04/14 16:36:00,2018/04/14 15:59:00,15:59:00,THEFT,Other Theft,7,2018/04/14 16:36:39,25962,44.97845913,-93.27733144,"-10,383,585.0385","5,618,130.9549",DOWNTOWN WEST,2018/04/15 00:23:21,2018/04/15 20:00:35
547,0037XX 29 AV S,3753578,MP 2018 117469,3,2018/04/14 18:33:59,2018/04/13 21:00:00,21:00:00,TFMV,Theft From Motr Vehc,7,2018/04/14 18:33:53,15581,44.9350103,-93.2308515,"-10,378,410.9154","5,611,295.9847",STANDISH,2018/04/15 09:46:15,2018/04/15 20:00:35
548,0028XX 26 AV S,3753582,MP 2018 117544,3,2018/04/14 19:04:00,2018/04/14 17:26:59,17:27:00,SHOPLF,Shoplifting,7,2018/04/14 19:03:41,19096,44.95108135,-93.2347243,"-10,378,842.0334","5,613,823.5304",LONGFELLOW,2018/04/15 06:03:57,2018/04/15 20:00:35
549,0018XX Chicago AV S,3753584,MP 2018 117466,3,2018/04/14 19:21:00,2018/04/13 13:05:00,13:05:00,THEFT,Other Theft,7,2018/04/14 19:20:59,18714,44.96456748,-93.2625536,"-10,381,939.9771","5,615,945.0844",VENTURA VILLAGE,2018/04/14 21:15:11,2018/04/15 20:00:35
550,0015XX New Brighton BL ,3753585,MP 2018 117617,2,2018/04/14 18:46:59,2018/04/12 20:15:00,20:15:00,AUTOTH,Motor Vehicle Theft,8,2018/04/14 19:54:43,21511,45.00363907,-93.22883412,"-10,378,186.3417","5,622,094.4019",NORTHEAST PARK,2018/04/15 05:01:04,2018/04/15 20:00:35
551,0004XX Chicago AV S,3753588,MP 2018 117584,1,2018/04/14 18:00:00,2018/04/05 09:23:00,09:23:00,THFTSW,Theft By Swindle,7,2018/04/14 20:23:56,18604,44.97466322,-93.25938727,"-10,381,587.5024","5,617,533.6098",DOWNTOWN EAST,2018/04/15 00:17:21,2018/04/15 20:00:35
552,0009XX Nicollet Mall  ,3753589,MP 2018 117590,1,2018/04/14 20:26:59,2018/04/14 18:11:59,18:12:00,SHOPLF,Shoplifting,7,2018/04/14 20:27:20,19563,44.97449942,-93.27431687,"-10,383,249.4581","5,617,507.8346",DOWNTOWN WEST,2018/04/15 00:37:10,2018/04/15 20:00:35
553,0004XX Chicago AV S,3753590,MP 2018 117623,1,2018/04/14 20:29:59,2017/11/17 14:00:00,14:00:00,THFTSW,Theft By Swindle,7,2018/04/14 20:34:01,18604,44.97466322,-93.25938727,"-10,381,587.5024","5,617,533.6098",DOWNTOWN EAST,2018/04/15 00:17:48,2018/04/15 20:00:35
